1051,12,4,0,3,  
1051,4,0,0,0, 46 
1249,10,4,0,2, 14 
1261,11,5,1,6, 31 
1287,13,4,1,5, 48 
1287,8,6,0,3, 22 
1539,3,0,0,0, 32 
1539,3,2,0,2, 48 
1553,20,5,0,3, 12 
2028,16,8,0,4, 16 
2028,4,5,0,3, 46 
2187,14,1,0,1, 62 
2187,2,0,0,0, 36 
2632,15,2,1,3, 19 
2632,2,2,1,3, 36 
2640,5,0,0,0, 30 
2815,1,0,0,0, 22 
2815,1,0,0,0, 22 
2815,13,0,0,0, 48 
283,1,1,0,1, 20 
342,12,0,0,0, 21 
342,6,2,1,3, 53 
3459,1,6,2,4, 32 
3459,1,4,3,3, 23 
3459,2,4,0,4,  
3489,12,0,0,0,  
3489,3,2,1,3, 14 
4074,10,0,0,0, 8 
4075,16,3,0,3, 4 
4075,9,2,0,2, 42 
4098,13,0,0,0, 6 
4098,7,0,0,0, 13 
435,3,0,0,0, 7 
4452,14,1,0,1, 57 
4452,7,0,0,0, 0 
4514,15,0,0,0, 10 
4514,8,0,0,0, 25 
4533,16,0,0,0, 4 
4533,2,1,1,2, 6 
4582,13,2,0,1, 13 
4582,6,3,0,1, 8 
4823,12,0,0,0, 21 
4823,2,0,0,0, 6 
5020,12,4,0,4, 24 
5020,5,2,1,5, 30 
5022,13,0,0,0, 13 
5022,5,4,1,5, 30 
5063,4,2,0,2, 68 
5180,14,0,0,0, 57 
5180,9,2,0,2, 0 
900,3,0,0,0, 32 
