Team,Match,Totes,Containers,MaxHeight,MatchPoints
4828,4,2,1,1,null
4828,53,2,0,2,null
4828,61,4,0,1,null
4829,17,0,0,0,null
4829,26,0,0,0,null
4829,37,0,0,0,null
4829,46,3,0,2,null
4829,54,2,0,2,null
4829,59,4,0,2,null
4829,8,0,0,0,null
4996,14,0,0,0,null
4996,24,0,1,1,null
4996,32,0,0,0,null
4996,37,0,0,0,null
4996,49,1,0,1,null
4996,64,0,0,0,null
5160,17,0,0,0,null
5160,25,0,2,4,null
5160,33,2,0,2,null
5160,41,0,0,0,null
5160,41,0,0,0,null
5160,51,0,3,4,null
5160,9,0,0,0,null
5190,16,1,0,1,null
5190,33,1,0,1,null
5190,44,3,0,2,null
5190,49,2,0,1,null
5190,59,2,0,2,null
5323,13,0,0,0,null
5323,23,2,0,1,null
5323,31,0,0,0,null
5323,38,3,0,1,null
5323,47,2,0,1,null
5323,58,0,0,0,null
5323,7,0,0,0,null
5446,37,6,0,2,null
5446,4,7,0,2,null
5446,4,6,0,2,null
5446,47,6,0,2,null
5446,62,5,0,2,null
5446,9,0,0,0,null
5511,11,0,0,0,null
5511,27,1,0,1,null
5511,35,3,1,3,null
5511,46,5,0,3,null
5511,51,3,0,3,null
5511,51,0,0,0,null
5511,56,3,1,2,null
5518,22,2,0,2,null
5518,4,2,1,3,null
5518,46,0,1,1,null
5518,55,1,1,1,null
5518,64,3,1,3,null
5543,12,0,0,0,null
5543,21,3,0,3,null
5543,35,5,0,4,null
5543,42,5,0,2,null
5543,47,8,0,4,null
5543,60,0,0,0,null
5544,14,0,1,1,null
5544,26,0,3,2,null
5544,34,0,1,2,null
5544,44,0,0,0,null
5544,53,0,3,3,null
5544,58,0,0,0,null
5544,6,0,0,0,null
5607,18,0,0,0,null
5607,27,0,0,0,null
5607,35,0,0,0,null
5607,4,0,0,1,null
5607,40,0,0,0,null
5607,55,0,0,0,null
5607,62,0,0,0,null
5679,1,0,2,2,null
5679,23,1,2,3,null
5679,30,2,1,2,null
5679,4,2,0,1,null
5679,40,1,1,1,null
5679,40,0,0,0,null
5679,47,0,0,0,null
5679,59,4,0,2,null
5727,15,1,0,1,null
5727,21,0,0,0,null
5727,31,2,0,2,null
5727,39,1,0,1,null
5727,53,2,0,1,null
5727,59,1,0,1,null
5727,59,0,0,0,null
5762,16,1,0,1,null
5762,21,1,0,1,null
5762,29,0,0,0,null
5762,45,0,0,0,null
5762,53,0,0,0,null
5762,61,0,0,0,null
5762,9,0,0,0,null
5811,1,3,1,4,null
587,18,2,0,2,null
587,24,2,0,4,null
587,3,0,0,0,null
587,35,0,0,0,null
587,41,2,0,2,null
587,52,0,0,0,null
587,59,2,1,3,null
900,18,0,0,0,null
900,38,2,0,1,null
900,48,1,1,2,null
900,58,0,2,3,null
900,9,0,1,3,null
Test,1,0,0,0,null
